전용면적(㎡),계약년월,계약일,건축년도,거래금액,계약년도,계약월,시,읍면동
44.78,2016-05,10,2013,224000000,2016,5,서귀포시,서귀동
44.78,2016-05,10,2013,224000000,2016,5,서귀포시,서귀동
30.0,2016-05,10,1991,74000000,2016,5,제주시,노형동
20.14,2016-05,10,2004,70000000,2016,5,제주시,노형동
69.2,2016-05,10,2013,315000000,2016,5,서귀포시,서귀동
26.24,2016-05,10,2013,121000000,2016,5,서귀포시,서귀동
26.24,2016-05,10,2013,121000000,2016,5,서귀포시,서귀동
52.51,2016-05,10,2013,240000000,2016,5,서귀포시,서귀동
25.025,2016-05,9,1994,40000000,2016,5,서귀포시,서귀동
61.94,2016-05,2,2015,140000000,2016,5,서귀포시,중문동
37.975,2016-05,1,2003,80000000,2016,5,제주시,연동
30.0,2016-05,1,1991,70000000,2016,5,제주시,노형동
33.6,2016-05,1,1990,77000000,2016,5,제주시,연동
21.75,2016-05,1,2011,123000000,2016,5,제주시,연동
43.5,2016-04,30,2011,154320000,2016,4,제주시,연동
31.34,2016-04,30,2011,146930000,2016,4,제주시,연동
43.5,2016-04,30,2011,150630000,2016,4,제주시,연동
43.5,2016-04,30,2011,148780000,2016,4,제주시,연동
43.5,2016-04,30,2011,146930000,2016,4,제주시,연동
43.5,2016-04,30,2011,145080000,2016,4,제주시,연동
35.91,2016-04,30,2003,118000000,2016,4,제주시,노형동
43.5,2016-04,30,2011,142310000,2016,4,제주시,연동
43.5,2016-04,30,2011,142310000,2016,4,제주시,연동
43.5,2016-04,30,2011,156170000,2016,4,제주시,연동
43.5,2016-04,30,2011,145080000,2016,4,제주시,연동
84.77,2016-04,29,2015,144710000,2016,4,제주시,외도일동
97.31,2016-04,28,2016,180000000,2016,4,제주시,조천읍
36.0,2016-04,27,1992,40000000,2016,4,서귀포시,서귀동
20.14,2016-04,26,2004,83000000,2016,4,제주시,노형동
31.5,2016-04,25,2001,75000000,2016,4,제주시,연동
61.94,2016-04,25,2015,140000000,2016,4,서귀포시,중문동
21.75,2016-04,25,2011,95000000,2016,4,제주시,연동
21.75,2016-04,25,2011,95000000,2016,4,제주시,연동
43.5,2016-04,25,2011,156000000,2016,4,제주시,연동
84.92,2016-04,25,2013,300000000,2016,4,제주시,연동
30.0,2016-04,22,1991,58000000,2016,4,제주시,노형동
37.0,2016-04,20,2003,120000000,2016,4,제주시,노형동
33.6,2016-04,20,1990,75000000,2016,4,제주시,연동
84.95,2016-04,19,2015,201020000,2016,4,제주시,삼도이동
20.14,2016-04,18,2004,68000000,2016,4,제주시,노형동
26.95,2016-04,18,1994,20000000,2016,4,서귀포시,서귀동
62.4,2016-04,18,2015,175500000,2016,4,제주시,연동
21.75,2016-04,14,2011,93000000,2016,4,제주시,연동
84.68,2016-04,12,2015,202300000,2016,4,서귀포시,동홍동
33.6,2016-04,12,1990,85000000,2016,4,제주시,연동
44.57,2016-04,12,2015,64260000,2016,4,제주시,외도일동
21.75,2016-04,11,2011,93000000,2016,4,제주시,연동
20.14,2016-04,9,2004,85000000,2016,4,제주시,노형동
31.96,2016-04,7,1994,35000000,2016,4,서귀포시,서귀동
31.23,2016-04,6,2006,80000000,2016,4,제주시,연동
42.31,2016-04,5,1991,100000000,2016,4,제주시,노형동
35.2,2016-04,4,2003,121500000,2016,4,제주시,노형동
21.75,2016-04,4,2011,94000000,2016,4,제주시,연동
25.21,2016-04,3,2004,117000000,2016,4,제주시,연동
21.75,2016-04,1,2011,93000000,2016,4,제주시,연동
74.43,2016-04,1,2015,255000000,2016,4,제주시,연동
83.77,2016-04,1,2016,161500000,2016,4,제주시,조천읍
20.14,2016-04,1,2004,80000000,2016,4,제주시,노형동
22.82,2016-04,1,2003,70000000,2016,4,제주시,연동
83.76,2016-03,31,2015,215000000,2016,3,서귀포시,서홍동
84.6,2016-03,31,2016,182000000,2016,3,제주시,한림읍
61.94,2016-03,31,2015,161000000,2016,3,서귀포시,중문동
43.91,2016-03,30,2015,129000000,2016,3,서귀포시,중문동
35.1,2016-03,29,2014,172810000,2016,3,제주시,도련일동
84.89,2016-03,29,2016,180000000,2016,3,제주시,한림읍
20.14,2016-03,28,2004,77000000,2016,3,제주시,노형동
83.07,2016-03,28,2015,210000000,2016,3,서귀포시,동홍동
21.75,2016-03,28,2011,91000000,2016,3,제주시,연동
36.32,2016-03,25,2003,100000000,2016,3,제주시,노형동
82.14,2016-03,25,2016,262000000,2016,3,제주시,삼도이동
84.71,2016-03,25,2015,200000000,2016,3,제주시,삼도이동
83.77,2016-03,25,2016,168000000,2016,3,제주시,조천읍
21.75,2016-03,25,2011,121000000,2016,3,제주시,연동
21.75,2016-03,25,2011,124000000,2016,3,제주시,연동
84.9,2016-03,24,2012,200000000,2016,3,제주시,노형동
58.68,2016-03,24,2015,177000000,2016,3,제주시,연동
89.88,2016-03,24,2016,178500000,2016,3,제주시,조천읍
97.31,2016-03,23,2016,185000000,2016,3,제주시,조천읍
93.53,2016-03,23,2016,175000000,2016,3,제주시,조천읍
15.67,2016-03,23,2011,86000000,2016,3,제주시,연동
42.4,2016-03,22,1992,45000000,2016,3,서귀포시,서귀동
38.25,2016-03,22,1994,40000000,2016,3,서귀포시,서귀동
36.0,2016-03,22,1992,35000000,2016,3,서귀포시,서귀동
20.14,2016-03,21,2004,60000000,2016,3,제주시,노형동
84.68,2016-03,21,2015,210000000,2016,3,서귀포시,동홍동
29.16,2016-03,20,1992,48000000,2016,3,제주시,연동
82.14,2016-03,20,2016,259000000,2016,3,제주시,삼도이동
82.14,2016-03,20,2016,247000000,2016,3,제주시,삼도이동
34.96,2016-03,19,1992,38500000,2016,3,제주시,연동
58.68,2016-03,17,2015,165000000,2016,3,제주시,연동
35.2,2016-03,17,2003,90000000,2016,3,제주시,노형동
